"","V1","city","gu","ad_dong","id","adstrd_code","cul_mean_amt","hel_mean_amt","medi_mean_amt","mean_commerce","conv_dep","mean_dep","bus_sum","wdoverwk","sub_sum","cluster","highsat","satis_ind"
"111",111,"서울특별시","성북구","성북동",1108081,1129052500,1.58227848101266,2.42424242424242,55.3875236294896,322.940639269406,147.653390564422,529.862368349741,50,1.03207500052977,0,2,1,0.569821007980709
"112",112,"서울특별시","성북구","삼선동",1108082,1129055500,17.6847133757962,2.08108108108108,174.177419354839,1130.18656716418,180.943362827601,720.604470668604,40,1.15651420599502,2,2,1,0.821948672433232
"113",113,"서울특별시","성북구","동선동",1108083,1129057500,34.3299798792757,12.4181818181818,152.252707581227,1035.5064516129,220.000348141893,571.841481623396,18,1.12464519011013,0,3,1,0.707394139397526
"114",114,"서울특별시","성북구","돈암1동",1108058,1129058000,1.65384615384615,1.21621621621622,29.8172043010753,230.45390070922,145.349570139514,478.258945435632,10,1.10107783547104,0,2,1,0.471086293551287
"115",115,"서울특별시","성북구","돈암2동",1108059,1129059000,-28.0579475982943,1.97183098591549,17.1116625310174,182.72952853598,157.283447652975,558.123729245963,29,1.01142486323716,0,2,1,0.552370799453345
"116",116,"서울특별시","성북구","안암동",1108060,1129060000,46.1193548387097,3.05,274.477049180328,1089.07419354839,128.020756519343,436.06948164,32,1.37070081257608,1,2,1,0.540725464179683
"117",117,"서울특별시","성북구","보문동",1108061,1129061000,2.17840375586854,2.21176470588235,39.8186356073211,470.138952164009,178.117605734712,604.043250677519,10,1.14315013797797,1,2,1,0.574736476711538
"118",118,"서울특별시","성북구","정릉1동",1108062,1129062000,1.78472222222222,2.16470588235294,44.6553480475382,256.330166270784,102.836620745784,366.347827867625,13,1.04999022247253,0,2,1,0.397205531585281
"119",119,"서울특별시","성북구","정릉2동",1108063,1129063000,3.76951672862454,1.47727272727273,48.662273476112,752.625806451613,91.428194620025,430.607748089121,53,0.994580042891305,0,2,1,0.503795766395647
"120",120,"서울특별시","성북구","정릉3동",1108064,1129064000,2.87745098039216,1,19.8567708333333,626.938709677419,88.8380328246623,411.647870003636,28,0.978590177889392,0,2,1,0.451034070231645
"121",121,"서울특별시","성북구","정릉4동",1108065,1129065000,3.76045627376426,2.11538461538462,73.394584139265,475.825806451613,105.266325474949,365.056014057781,34,0.958763135200062,0,2,1,0.429402393022865
"122",122,"서울특별시","성북구","길음1동",1108066,1129066000,7.05069124423963,13.3990825688073,95.215503875969,593.851936218679,182.157616988102,578.568772376905,30,1.07528807227392,1,2,1,0.549012948396356
"123",123,"서울특별시","성북구","길음2동",1108068,1129068500,1.62295081967213,2.08955223880597,82.1371527777778,576.810810810811,124.841925510282,447.828026161739,22,1.06265223960255,0,2,1,0.481339640471092
"124",124,"서울특별시","성북구","종암동",1108084,1129070500,8.56435643564356,4.32786885245902,107.073170731707,1130.35806451613,139.822606530898,522.478489674111,51,1.1165110535385,1,2,1,0.590245049463319
"125",125,"서울특별시","성북구","월곡1동",1108071,1129071500,3.38059701492537,2.10679611650485,85.4163090128755,615.590322580645,111.752945264351,451.545315228928,23,1.07172853797605,0,2,1,0.487286201232022
"126",126,"서울특별시","성북구","월곡2동",1108072,1129072500,14.8714285714286,5.39622641509434,77.8757668711656,845.19589977221,90.7912033932805,374.648491687585,34,1.03170753687201,2,2,1,0.422608619174253
"127",127,"서울특별시","성북구","장위1동",1108076,1129076000,5.48221343873518,1,37.7444219066937,494.854838709677,97.0250586977081,335.773871063253,33,1.01511563253237,0,2,1,0.405027642980041
"128",128,"서울특별시","성북구","장위2동",1108077,1129077000,5.23628691983122,1.22222222222222,47.0164203612479,148.938709677419,72.2211936965777,404.023751201433,29,1.08498547940813,1,2,1,0.433865477738251
"129",129,"서울특별시","성북구","장위3동",1108078,1129078000,21.5745360497241,6.24675324675325,22.8817204301075,221.705596107056,143.143609647057,474.582762767976,36,1.03899137695824,0,2,1,0.47718075627776
"130",130,"서울특별시","성북구","석관동",1108085,1129081000,17.0778443113772,3.43891402714932,88.5754276827372,1367.83225806452,111.464308297385,559.866095286606,30,1.0863956761898,0,2,1,0.610472821042704
"131",131,"서울특별시","강북구","삼양동",1109069,1130553400,5,1.20833333333333,96.2777777777778,680.895261845387,78.2447573401745,386.216239169883,33,1.01851013937902,0,2,0,0.457317980902999
"132",132,"서울특별시","강북구","미아동",1109070,1130553500,21.6077170418006,2.59550561797753,135.421303656598,900.832258064516,118.5362500916,336.983100032857,26,1.12462027759883,1,2,0,0.418779169477883
"133",133,"서울특별시","강북구","송중동",1109071,1130554500,26.5067178502879,9.04471544715447,162.686676427526,751.672384219554,138.351972652118,425.292951344074,58,1.09108489329039,2,2,0,0.491343643652135
"134",134,"서울특별시","강북구","송천동",1109072,1130555500,15.3003412969283,4.62096774193548,109.334415584416,638.410022779043,88.3279636833609,397.729160728868,17,1.09136111947934,0,2,0,0.437660020048781
"135",135,"서울특별시","강북구","삼각산동",1109073,1130557500,4.5672268907563,3.5,93.9703315881326,320.631828978622,157.884546903809,466.03949843746,20,1.02380796548199,0,2,0,0.483488728495509
"136",136,"서울특별시","강북구","번1동",1109060,1130559500,2.45283018867925,1.95,7.89545454545455,37.0152671755725,98.6103262531643,459.474994103922,25,1.09140147589964,0,2,0,0.460737407755562
"137",137,"서울특별시","강북구","번2동",1109061,1130560300,1.47619047619048,1.2,11.7787610619469,46.0313901345291,102.040662019286,343.580327189189,36,1.0366784578413,0,2,0,0.396398972792298
"138",138,"서울특별시","강북구","번3동",1109062,1130560800,1,1.21428571428571,9.78680203045685,78.1240875912409,72.9186193124407,334.897396315044,35,1.00540419844695,0,2,0,0.39021230396841
